Vegetable,Season,Month,Temperature,Disaster Events,Vegetable Condition,Price per kg
Garlic,Spring,3,16.04542376,No,scrap,80
Radish,Autumn,8,34.22666653,No,wilted,35
Peas,Summer,7,11.61586343,No,fresh,85
Ginger,Spring,1,12.09018593,Yes,wilted,78
Garlic,Winter,12,23.21565232,No,wilted,80
Peas,Spring,12,17.57663642,Yes,scrap,110.5
Peas,Summer,5,32.36357241,No,scrap,85
Cauliflower,Winter,9,29.02570231,No,scrap,20
Ginger,Spring,4,33.17604388,Yes,fresh,78
Cabbage,Autumn,1,19.74036869,No,wilted,30
Brinjal,Monsoon,8,32.21556819,Yes,wilted,52
Pointed grourd,Monsoon,5,35.86909708,Yes,fresh,45.5
Cucumber,Autumn,2,20.35823483,Yes,average,39
Brinjal,Monsoon,12,20.19687463,Yes,scrap,52
Bitter gourd,Monsoon,1,36.99854212,Yes,fresh,32.5
Pointed grourd,Autumn,12,11.4937076,No,scrap,35
Pointed grourd,Autumn,12,20.50568217,Yes,wilted,45.5
Tomato,Spring,12,13.56017476,No,fresh,30
Onion,Spring,3,10.86941771,Yes,average,32.5
Radish,Autumn,9,13.38608253,Yes,scrap,49.4
Radish,Summer,1,22.93737374,No,wilted,35
Radish,Monsoon,4,30.60868208,No,wilted,35
Pointed grourd,Spring,8,18.67847273,Yes,average,45.5
Cabbage,Monsoon,8,35.49025922,Yes,average,39
Chilly,Winter,10,23.12846886,No,scrap,35
Garlic,Autumn,12,39.04684153,No,wilted,80
Okra,Summer,11,38.62467008,Yes,average,26
Garlic,Winter,11,33.19828668,Yes,fresh,104
Cauliflower,Winter,8,37.97216488,Yes,average,26
Pumpkin,Winter,10,31.21288228,No,fresh,40
Okra,Autumn,8,36.8674957,Yes,wilted,26
Brinjal,Spring,4,17.09421152,No,scrap,40
Radish,Autumn,8,20.36260601,No,wilted,35
Garlic,Spring,9,32.58790198,Yes,wilted,104
Pointed grourd,Winter,7,22.73683715,Yes,wilted,45.5
Ginger,Winter,12,35.11982301,No,wilted,60
Radish,Summer,2,36.32916615,Yes,scrap,45.5
Cabbage,Spring,9,18.99188454,Yes,average,39
Pumpkin,Winter,11,34.70352425,No,scrap,40
Tomato,Monsoon,8,14.62792813,Yes,scrap,39
Cauliflower,Summer,5,20.02590135,No,scrap,20
Ginger,Autumn,12,25.53894853,No,scrap,60
Cauliflower,Summer,3,16.79331286,Yes,average,26
Brinjal,Monsoon,7,27.37803489,No,wilted,40
Cucumber,Spring,2,27.36085236,No,average,30
Onion,Autumn,3,16.20708685,Yes,average,32.5
Cauliflower,Autumn,12,33.86924035,No,wilted,20
Pointed grourd,Spring,9,28.94933468,Yes,average,45.5
Brinjal,Summer,4,19.5328152,No,scrap,40
